ID,rel_on_right,rel_on_left,rel_in_right,rel_in_left,rel_attach,rel_in_grasp,rel_grasp,pos_x,pos_y,pos_z,pos_roll,pos_pitch,pos_yaw
"(0, 5)",0,0,0,0,0,0,1,0,0,0,0,0,0
"(3, 8)",1,0,0,0,0,0,0,-20,20,0,0,0,0
"(5, 0)",0,0,0,0,0,1,0,0,0,0,0,0,0
"(1, 2)",1,0,0,0,0,0,0,0,0,10,0,0,0
"(2, 1)",0,1,0,0,0,0,0,0,0,-10,0,0,0
"(2, 4)",1,0,0,0,0,0,0,0,0,10,0,0,0
"(4, 2)",0,1,0,0,0,0,0,0,0,-10,0,0,0
"(4, 8)",1,0,0,0,0,0,0,20,-20,0,0,0,-2
"(6, 8)",1,0,0,0,0,0,0,-40,0,0,0,0,0
"(7, 8)",1,0,0,0,0,0,0,40,0,0,0,0,0
"(8, 3)",0,1,0,0,0,0,0,20,-20,0,0,0,0
"(8, 4)",0,1,0,0,0,0,0,-20,20,0,0,0,2
"(8, 6)",0,1,0,0,0,0,0,40,0,0,0,0,0
"(8, 7)",0,1,0,0,0,0,0,-40,0,0,0,0,0
